Year,Avg.temp,High.temp,Low.temp,Avg.cloud,Avg.rain
1960,26.4,29.8,24.2,9.7,0.0
1961,30.0,35.3,25.1,3.3,0
1962,26.6,30.4,24.9,9.3,7.9
1963,27.0,31.2,24.4,7.3,0
1964,29.3,34.5,23.6,4.3,0
1965,26.0,31.0,22.2,3.8,0
1966,27.3,31.6,25.1,8.5,0
1967,26.8,31.2,23.8,8.3,0
1968,27.8,32.1,23.1,5.8,0.0
1969,23.3,26.1,20.3,10.0,10.8
1970,26.0,30.2,24.0,8.8,0.2
1971,27.5,31.2,24.4,3.8,0
1972,24.8,29.9,22.0,8.0,0
1973,24.3,26.7,22.2,10.0,8.1
1974,25.0,29.3,23.3,9.5,6.1
1975,25.9,29.4,24.2,9.8,28.2
1976,26.3,30.6,23.4,8.3,0.0
1977,28.3,33.3,25.2,3.3,0
1978,29.5,34.4,26.4,5.3,0
1979,26.3,28.5,25.3,8.8,1.5
1980,24.3,30.6,17.4,0.0,0
1981,27.6,29.7,27.2,7.8,0.4
1982,26.5,31.6,23.1,2.8,0
1983,27.2,29.7,25.2,9.5,13.9
1984,27.3,32.1,24.7,10.0,32.9
1985,27.9,32.1,24.6,6.3,0.0
1986,27.9,32.8,24.9,7.3,1.3
1987,26.4,31.5,21.8,4.5,0
1988,28.0,34.2,22.5,0.0,0
1989,27.2,31.1,23.8,1.0,0
1990,28.2,33.0,24.4,2.0,0
1991,27.0,30.3,24.0,9.3,0.4
1992,27.2,32.2,22.5,1.5,0
1993,24.8,29.7,23.2,10.0,16.5
1994,26.3,29.3,24.8,8.0,9.6
1995,27.2,30.7,25.3,9.3,21.3
1996,29.8,35.4,24.5,0.8,0
1997,28.7,33.7,25.7,2.9,0
1998,24.7,28.0,23.0,9.8,19.3
1999,23.5,25.0,22.7,10.0,163.5
2000,26.3,31.2,21.2,3.3,0
2001,26.8,31.0,23.6,7.8,48.2
2002,26.0,28.5,24.3,9.3,0.1
2003,25.8,28.9,23.6,9.0,0.0
2004,29.4,34.2,25.3,3.5,0
2005,25.3,27.0,23.2,8.8,26.5
2006,27.7,32.0,24.7,4.5,0
2007,27.2,30.1,25.1,9.1,1.0
2008,27.7,31.2,25.6,9.6,0.0
2009,25.4,28.9,23.3,6.1,21.5
2010,27.5,31.0,26.1,9.0,0.0
2011,25.6,29.2,23.3,9.4,0.5
2012,30.8,35.3,25.9,5.5,0
2013,28.0,32.1,24.5,7.1,0
2014,30.2,34.7,24.7,4.9,0
2015,28.2,31.6,26.0,6.9,0
2016,28.4,32.4,25.8,6.3,0
2017,28.6,33.0,24.1,7.0,2.0
2018,33.6,39.6,27.8,0.8,0
2019,26.3,30.1,23.5,7.8,26.9
2020,25.3,26.9,24.3,9.8,39.1
2021,27.1,28.8,25.1,9.8,21.0
2022,28.6,32.4,25.4,8.9,30.0
2023,29.9,34.2,25.5,4.1,0
